Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Frontal Offset Deformable Barrier,Whiplash Rear Impact,AEB City,Lateral Impact,18 months old child,36 months old child,VRU Impact Protection,Crash Test Performance,Safety Features,CRS Installation Check,Speed Assistance,Electronic Stability Control,Seatbelt Reminder,Lane Support,AEB Inter-Urban,Head Impact,Pelvis Impact,Leg Impact,rating,Frontal Full Width,Frontal Impact,Lateral Impact.1,Crash Test Performance based on 6 & 10 year old children,AEB Pedestrian,Safety Pack Name,VRU Impact Mitigation,AEB Cyclist,Rear Impact,Frontal Impact.1,Rescue and Extrication,Occupant Status Monitoring,AEB Car-to-Car,Rescue and Extrication.1,Crash Test Performance based on 6 & 10 year old children.1,Safety Features.1,CRS Installation Check.1,Pedestrian & Cyclist Head,Pelvis,Femur,Knee & Tibia
"Peugeot 308CC 1.6 SportPack, LHD",- 2 door cabriolet,2009,1512kg,- all 308CCs of the specification tested,Small Family Car,14.9,0.0,,15.0,10,9.3,11.7,19.3,3.0,12.0,0.8,3,3.0,0,0,4.9,0.8,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Renault Grand Scenic, 1.5 diesel 'Expression', LHD",- 5 door MPV,2009,1507kg,- all Grand Scenics of specification tested,Small MPV,14.7,2.4,,15.6,11,10.2,15.1,21.2,4.0,12.0,0.9,3,3.0,0,0,6.8,2.3,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Saab 9-5 2.0 diesel 'Linear', LHD",- 4 door sedan,2009,1689kg,- applies to all new 9-5s of the specification tested,Executive Car,15.1,3.1,,15.6,11.2,12,15.9,23.2,4.0,12.0,0,3,3.0,0,0,9.9,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Skoda Superb 2.0TDI 'Ambition', LHD",- 5 door saloon,2009,1490kg,- all Superbs of the specification tested,Large Family Car,14.8,2.2,,15.3,12,11.6,18.0,23.6,4.0,12.0,0,3,2.0,0,0,12.0,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Skoda Yeti 2.0TDI 'Ambiente', LHD",- 5 door SUV,2009,1545kg,- applies to all Yetis of the specification tested,Small Mpv,14.7,3.6,,14.8,8,10.1,16.7,18.1,8.0,12.0,0,3,2.0,0,0,10.7,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Subaru Impreza 2.0R, RHD",- 5 door hatchback,2009,1370kg,- applies to Imprezas ordered from February 18 onwards,Small Family Car,14.8,2.5,,12.8,8.7,12,25.7,20.7,3.0,12.0,0,3,1.0,0,0,16.2,3.6,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Subaru Legacy 2.0D, LHD",- 5 door wagon,2009,1480kg,- applies to all Legacies of the specification tested,Large Family Car,11.3,2.8,,14.4,8.6,10.2,20.9,18.8,5.0,12.0,0,3,2.0,0,0,15.1,0.0,5.8,5,,,,,,,,,,,,,,,,,,,,,
"Suzuki Alto 1.0 GL, RHD",- 5 door hatchback,2009,885kg,- applies to all 2009 model year Altos,City and Supermini,10.4,2.3,,7.1,7.9,4.7,12.8,12.6,2.0,8.0,0,1,1.0,0,0,9.5,0.0,3.3,3,,,,,,,,,,,,,,,,,,,,,
"Toyota Avensis 2.0 D4-D, RHD",- 4 door saloon,2009,1531kg,- applies to all Avensis,Large Family Car,15,3.3,,14.0,10,12,19.1,22.0,8.0,12.0,0.0,3,3.0,0,0,12.6,0.5,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Toyota iQ 1.0, LHD",- 3 door hatchback,2009,886kg,- applies to all iQs,City and Supermini,15.5,2.7,,14.6,10,7.8,19.5,17.8,5.0,12.0,0,3,3.0,0,0,11.8,1.7,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Toyota Prius 1.8VVT 'Sol', RHD",- 5 door hatchback,2009,1420kg,- applies to all Prius of the specification tested,Large Family Car,15.2,2.1,,14.4,10.7,11.4,24.4,22.1,6.0,12.0,0,3,3.0,0,0,14.9,4.3,5.2,5,,,,,,,,,,,,,,,,,,,,,
"Toyota Urban Cruiser 1.33 petrol, RHD",- 5 door MPV,2009,1150kg,- from JTKKH16440J012088,Small MPV,12,1.9,,7.0,6.9,8.8,19.0,15.7,7.0,12.0,0,3,3.0,0,0,13.1,0.0,5.9,3,,,,,,,,,,,,,,,,,,,,,
"VW Polo 1.2 Trendline, LHD",- 5 door hatchback,2009,1035kg,- all Polos of the specification tested,City and Supermini,15,2.6,,14.8,12,12,14.9,24.0,6.0,12.0,0,3,2.0,0,0,8.5,2.4,4.0,5,,,,,,,,,,,,,,,,,,,,,
"VW Scirocco 1.4, LHD",- 3 door hatchback,2009,1280kg,"- applies to all Sciroccos of the specification tested, using child restraints recommended by VW from October 2009",Small Family Car,12.6,3.3,,15.5,10.1,9.7,19.1,19.8,4.0,12.0,0,3,2.0,0,0,7.1,6.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"VW Tiguan 2.0 diesel 'Trend'/'Fun', LHD",- 5 door SUV,2009,1590kg,- from start of production,Small SUV,14.3,3.0,,14.1,12,10.8,17.2,22.8,4.0,12.0,0,3,2.0,0,0,11.2,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Volvo C30, 1.8 Momentum, LHD",- 3 door hatchback,2009,1352kg,- applies to all C30's of the spec tested,Small Family Car,15,3.2,,14.6,12,12,9.2,24.0,2.0,12.0,0,3,2.0,0,0,5.2,0.0,4.0,5,,,,,,,,,,,,,,,,,,,,,
"Volvo V70, 2.4 diesel auto 'Kinetic', LHD",- 5 door estate,2009,1725kg,- applies to all V70s of the specification tested,Large Family Car,15.2,3.3,,13.4,12,12,15.6,24.0,5.0,12.0,0,3,2.0,0,0,9.6,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Volvo XC60 diesel 'Momentum', LHD",- 5 door SUV,2009,1850kg,- all XC60's of the specification tested,Small SUV,15.5,3.5,,14.6,11.9,12,17.3,23.9,3.0,12.0,0,3,3.0,0,0,11.3,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"VW Golf 1.4 'Trendline', LHD",- 5 door hatchback,2009,1190kg,- all Golfs of the specification tested,Small Family Car,15.7,3.3,,15.7,12,12,21.9,24.0,5.0,12.0,0,3,2.0,0,0,12.0,3.9,6.0,5,,,,,,,,,,,,,,,,,,,,,
"2.8l Diesel, Automatic, Platinum",- 5 door MPV,2011,2183kg,- applies to all Lancia Voyagers of the specification tested,Large MPV,10,2.6,,15.9,9.6,12,17.0,21.6,3.0,8.0,0,3,2.0,0,0,11.0,0.0,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Renault Trafic dCi 115 Combi, LHD",- 8/9 seat van,2015,2215kg,- all Trafics of the specification tested,Business and Family Van,9.7,1.4,,8.0,12,12,16.1,24.0,9.0,12.0,0,3,1.0,0,0,10.2,0.0,5.9,3,,,,,,,,,,,,,,,,,,,,,
"Renault Trafic dCi 115 Combi, LHD",- 8/9 seat van,2015,2215kg,- all Vivaros of the specification tested,Business and Family Van,9.7,1.4,,8.0,12,12,16.1,24.0,9.0,12.0,0,3,1.0,0,0,10.2,0.0,5.9,3,,,,,,,,,,,,,,,,,,,,,
"Audi TT 2.0TFSI 'Sport', FWD, RHD",- 3 door hatchback,2015,1230kg,- all TT's of the specification tested,Roadster sports,6.9,1.2,0.0,16.0,10.9,12,29.7,22.9,5.0,5.7,1.3,3,3.0,1.0,0,17.7,6.0,6.0,4,7.1,,,,,,,,,,,,,,,,,,,,
"Mazda 2 1.5 'Core', LHD",- 5 door hatchback,2015,1027kg,- all Mazda 2's,City and Supermini,7.8,1.8,0.0,16.0,12,9,30.3,21.0,6.0,11.5,1.3,3,3.0,1.0,0,18.5,5.8,6.0,4,7.1,,,,,,,,,,,,,,,,,,,,
"Suzuki Vitara 1.6 GL+, LHD",- 5 door hatchback,2015,1114kg,- all Vitaras of the specification tested,City and Supermini,7.8,2.7,0.0,16.0,12,11,27.6,23.0,7.0,12.0,1.3,3,3.0,0,2.4,17.9,3.8,6.0,5,7.7,,,,,,,,,,,,,,,,,,,,
"Fiat 500X 1.6 diesel 'Pop Star', LHD",- 5 door hatchback,2015,1386kg,- all Fiat 500X's of the specification tested,Small MPV,7.8,2.0,0.0,15.5,12,12,26.8,24.0,6.0,12.0,1.3,3,3.0,1.0,0,15.0,6.0,5.8,4,7.8,,,,,,,,,,,,,,,,,,,,
Renault Espace,- 5 door MPV,2015,1671kg,- applies to all Espaces of the specification tested,Large MPV,6.7,2.2,0.0,14.6,12,12,25.4,24.0,8.0,12.0,3.0,3,3.0,1.0,0.5,13.4,6.0,6.0,5,7.9,,,,,,,,,,,,,,,,,,,,
"Hyundai i20 1.2 GLS, LHD",- 5 door hatchback,2015,1100kg,- all i20s of the specification tested,City and Supermini,7.7,2.2,0.0,15.0,9.4,9.4,28.5,18.8,5.0,12.0,1.3,3,3.0,1.0,0,16.5,6.0,6.0,4,7.8,,,,,,,,,,,,,,,,,,,,
"Skoda Superb 2.0 TDI 'Ambition', LHD",- 5 door liftback,2015,1472kg,- all Superbs of the specification tested,Large Family Car,7.5,2.0,0.0,15.9,12,11.2,25.7,23.2,7.0,12.0,1.3,3,3.0,0,2.6,14.2,6.0,5.4,5,7.2,,,,,,,,,,,,,,,,,,,,
FIAT Panda Cross 1.3 MJ 4X4,- 5 door hatchback,2015,1150kg,- all Panda Cross of the specification tested,Small Off-Road 4x4,5.4,2.1,0.0,15.7,12,12,18.3,24.0,2.0,12.0,0,3,3.0,0,0,12.4,5.1,0.8,3,3.5,,,,,,,,,,,,,,,,,,,,
"Renault Kadjar 1.5dCi 'ZEN', LHD",- 5 door hatchback,2015,1420kg,- VF1RFE00X53586729,Small SUV,7.9,2.4,0.0,16.0,12,11,27.0,23.0,5.0,12.0,2.3,3,3.0,1.0,0,15.2,5.8,6.0,5,7.6,,,,,,,,,,,,,,,,,,,,
"Toyota Avensis 1.6 D-4D Touring Sports, LHD",- 5 door wagon,2015,1550kg,"- all Avensis Sedan and Avensis Touring Sport, petrol and diesel, with the safety equipment fitted to test car",Large Family Car,6.4,2.4,2.9,16.0,12,11.3,28.2,23.3,7.0,11.7,1.3,3,3.0,1.0,2.3,16.5,5.7,6.0,5,7.6,,,,,,,,,,,,,,,,,,,,
"Mazda CX-3 2.0 'Core', LHD",- 5 door wagon,2015,1231kg,- all CX-3s,City and Supermini,7.5,1.8,0.0,16.0,12,10.1,30.3,22.1,5.0,12.0,1.3,3,3.0,1.0,0,20.0,4.3,6.0,4,7.1,,,,,,,,,,,,,,,,,,,,
Mitsubishi L200 'GLS',- 4 door double cab,2015,1860kg,- applies to all L200s of the specification tested,Pickup Truck,5.3,2.6,0.0,16.0,11.3,11.1,27.7,22.4,7.0,12.0,1.3,3,3.0,1.0,0,18.1,3.6,6.0,4,7.1,,,,,,,,,,,,,,,,,,,,
"Audi Q7 3.0 TDI quattro, LHD",- 5 door SUV,2015,1995kg,- applies to all 5 and 7 seat Q7's of the specification tested,Large SUV,6.9,2.7,3.0,16.0,11.4,12,25.4,23.4,8.0,12.0,1.3,3,3.0,0,2.6,18.8,1.4,5.2,5,7.4,,,,,,,,,,,,,,,,,,,,
"VW Touran 1.6 'Comfortline', LHD",- 5 door MPV,2015,1483kg,- all 5 and 7 seat Tourans of the specification tested,Small MPV,7.6,2.4,0.0,16.0,11.7,12,25.7,23.7,8.0,12.0,1.3,3,3.0,0,2.6,18.7,1.0,6.0,5,7.8,,,,,,,,,,,,,,,,,,,,
"Volvo XC90 D5 'Momentum', LHD",- 5 door SUV,2015,2040kg,- applies to all XC90's of the specification tested,Large Off-Road 4x4,7.8,2.8,3.0,15.6,12,12,25.9,24.0,7.0,12.0,2.3,3,3.0,1.0,3,18.6,1.4,6.0,5,7.8,,,,,,,,,,,,,,,,,,,,
"Ford Galaxy 2.0 diesel 'Titanium', LHD",- 5 door wagon,2015,1779kg,- applies to all Galaxy's of the specification tested,Large MPV,7.7,2.0,0.0,16.0,12,11.7,28.6,23.7,7.0,12.0,2.3,3,3.0,1.0,0,16.8,5.8,6.0,5,7.6,,,,,,,,,,,,,,,,,,,,
"Ford Galaxy 2.0 diesel 'Titanium', LHD",- 5 door wagon,2015,1725kg,- applies to all S-MAX's of the specification tested,Large MPV,7.7,2.0,0.0,16.0,12,11.7,28.6,23.7,7.0,12.0,2.3,3,3.0,1.0,0,16.8,5.8,6.0,5,7.6,,,,,,,,,,,,,,,,,,,,
"Hyundai Tucson 1.7 diesel GLS 4x2, LHD",- 5 door wagon,2015,1494kg,"- all petrol and diesel engined Tucsons, 4x4 and 4x2",Small SUV,7.5,2.8,0.0,15.2,12,11,25.8,23.0,7.0,12.0,2.3,3,3.0,1.0,0,19.6,0.2,6.0,5,7.4,,,,,,,,,,,,,,,,,,,,
"Opel Karl/Vauxhall Viva 1.0 Enjoy, LHD",- 5 door hatchback,2015,920kg,- all Opel Karls,City and Supermini,6.4,1.6,0.0,14.0,12,6.3,24.5,18.3,5.0,12.0,1.3,3,3.0,1.0,0,15.9,2.6,6.0,4,6.2,,,,,,,,,,,,,,,,,,,,
"Mazda MX-5 1.5 SE-L, RHD",- 2 door roadster,2015,1030kg,- all MX-5s,Roadster sports,7.1,2.4,0.0,14.5,,,33.7,,5.0,12.0,1.3,3,3.0,1.0,0,21.7,6.0,6.0,4,8,,,,,,,,,,,,,,,,,,,,
"Honda Jazz 1.3 'Comfort', LHD",- 5 door hatchback,2015,1100kg,- all Jazz variants,City and Supermini,7.3,2.6,2.0,16.0,12,11.3,26.3,23.2,7.0,11.7,2.3,3,3.0,1.0,0,17.1,3.2,6.0,5,7.6,,,,,,,,,,,,,,,,,,,,
"Honda HR-V 1.6 'ES', RHD",- 5 door hatchback,2015,1259kg,- all HR-V's,Small Family Car,7.4,2.1,2.0,16.0,12,8.5,26.2,20.5,7.0,11.7,2.3,3,3.0,1.0,0,16.6,3.6,6.0,5,7.3,,,,,,,,,,,,,,,,,,,,
"VW Caddy 2.0 TDI 'Trendline', LHD",- 5 door hatchback,2015,1546kg,- all Caddys of the specification tested,Small MPV,7.2,2.6,0.0,14.9,12,11.3,21.0,23.3,3.0,12.0,1.3,3,2.0,0,2.5,14.1,0.9,6.0,4,7.4,,,,,,,,,,,,,,,,,,,,
Mercedes-Benz GLC 220d 4MATIC 'Exclusive',- 5 door SUV,2015,1845kg,- all GLC and GLC Coupés,Small SUV,7.6,2.6,2.8,16.0,12,10.7,29.7,22.7,9.0,12.0,1.3,3,3.0,0,2,22.5,1.5,5.7,5,7.4,,,,,,,,,,,,,,,,,,,,
"BMW Z4 sDrive 18i, LHD",- 2 door roadster,2015,1395kg,- all Z4s,Roadster sports,8,2.4,0.0,8.0,,,33.1,,1.0,12.0,0,3,3.0,0,0,21.3,6.0,5.8,3,8,,,,,,,,,,,,,,,,,,,,
"Jaguar XE 2.0 diesel 'Prestige', RHD",- 4 door saloon,2015,1569kg,- all XEs,Large Family Car,6.8,1.9,2.9,15.7,12,10.5,29.4,22.5,6.0,12.0,1.3,3,3.0,1.0,2.4,19.2,4.2,6.0,5,7.9,,,,,,,,,,,,,,,,,,,,
"Jaguar XF 2.0 diesel Prestige, RHD",- 4 door saloon,2015,1642kg,"- all XFs, including Sportbrakes, from VIN 15300",Executive Car,7.2,2.2,2.9,15.0,12,11.2,29.1,23.2,6.0,12.0,1.3,3,3.0,1.0,2.5,18.6,4.6,5.9,5,7.7,,,,,,,,,,,,,,,,,,,,
"Lancia New Ypsilon 1.2 Gold, LHD",- 5 door hatchback,2015,965kg,- all Ypsilons of the specification tested,City and Supermini,7.2,1.8,0.0,8.0,12,12,23.3,24.0,3.0,12.0,0,3,2.0,0,0,14.9,2.4,6.0,2,0,,,,,,,,,,,,,,,,,,,,
"Infiniti Q30 1.5d MT Premium, LHD",- 5 door hatchback,2015,1464kg,- all Q30s of the specification tested,Small Family Car,8,1.5,0.0,15.0,12,11.2,33.0,23.2,7.0,12.0,1.3,3,3.0,1.0,2.3,21.0,6.0,6.0,5,7.7,,,,,,,,,,,,,,,,,,,,
"KIA Optima 1.7 diesel 'EX', LHD",- 4 door sedan,2015,1515kg,- all Optimas with safety equipment assessed,Large Family Car,8,2.1,0.0,16.0,12,11.5,24.3,23.5,7.0,12.0,2.3,3,3.0,1.0,0,15.1,3.2,6.0,5,7.9,,,,,,,,,,,,,,,,,,,,
"KIA Sportage 1.7 diesel GL, LHD",- 5 door wagon,2015,1425kg,- all Sportages,Small SUV,8,2.3,0.0,16.0,12,10,24.0,22.0,7.0,12.0,2.3,3,3.0,1.0,0,14.0,4.2,5.9,5,7.9,,,,,,,,,,,,,,,,,,,,
"Lexus RX 450h, LHD",- 5 door SUV,2015,2155kg,- all RXs,Large SUV,6.7,2.4,3.0,15.6,12,9.3,28.7,21.3,7.0,12.0,0.3,3,3.0,1.0,2.7,16.7,6.0,6.0,5,7.1,,,,,,,,,,,,,,,,,,,,
"MINI Clubman Cooper 1.5, RHD",- 5 door hatchback,2015,1300kg,- all MINI Clubmans of the specification tested,City and Supermini,6.9,2.3,2.1,15.6,12,8,24.8,20.0,3.0,10.4,1.3,3,3.0,0,1.4,13.0,6.0,5.8,4,7.5,,,,,,,,,,,,,,,,,,,,
"Nissan NP300 Navara, 2.3 diesel, mid grade, LHD",- 4 door double cab,2015,2045kg,- All Double Cab NP300 Navaras,Pickup Truck,6.4,1.6,0.0,15.8,12,11.7,28.1,23.7,5.0,9.8,1.3,3,3.0,0,1.6,16.1,6.0,6.0,4,6.5,,,,,,,,,,,,,,,,,,,,
"Opel/Vauxhall Astra 1.4 'Enjoy', LHD",- 5 door hatchback,2015,1240kg,- all Astras,Small Family Car,7.4,2.5,0.0,15.5,12,10.2,30.0,22.2,7.0,12.0,1.3,3,3.0,1.0,1.5,18.0,6.0,6.0,5,7.5,,,,,,,,,,,,,,,,,,,,
"Renault Mégane 1.5dCi, LHD",- 5 door hatchback,2015,1318kg,"- all Méganes, including Mégane Sedan",Small Family Car,7.8,2.5,0.0,15.4,12,12,25.8,24.0,7.0,12.0,2.3,3,3.0,1.0,0,13.8,6.0,6.0,5,8,,,,,,,,,,,,,,,,,,,,
"Renault Talisman 1.5dCi, LHD",- 4 door sedan,2015,1446kg,- all Talismans,Large Family Car,7.7,2.6,0.0,14.8,12,10.4,24.7,22.4,7.0,12.0,3.0,3,3.0,1.0,0,15.0,3.6,6.0,5,7.8,,,,,,,,,,,,,,,,,,,,
"Peugeot Traveller 2.0 diesel, 'Navette', LHD",- Van,2015,1900kg,- All Peugeot Travellers,Business and Family Van,15.3,1.6,,14.7,12,10.6,19.4,22.6,10.0,12.0,0.5,3,2.0,0,0,13.4,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Peugeot Traveller 2.0 diesel, 'Navette', LHD",- Van,2015,1900kg,- All Citroën Spacetourers,Business and Family Van,15.3,1.6,,14.7,12,10.6,19.4,22.6,10.0,12.0,0.5,3,2.0,0,0,13.4,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Peugeot Traveller 2.0 diesel, 'Navette', LHD",- Van,2015,1900kg,- All Toyota Proaces,Business and Family Van,15.3,1.6,,14.7,12,10.6,19.4,22.6,10.0,12.0,0.5,3,2.0,0,0,13.4,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
Suzuki Baleno,5 door hatchback,2016,890kg,- all Balenos,City and Supermini,7.5,2.6,0.0,13.6,,,,,7.0,12.0,0,,3.0,0,0,17.5,4.1,6.0,3,7,12.1,5,17.1,0.0,,,,,,,,,,,,,,,,
Suzuki Baleno,- 5 door hatchback,2016,890kg,- all Balenos,City and Supermini,7.5,2.6,1.8,13.6,,,,,7.0,12.0,0,,3.0,0,2.3,17.5,4.1,6.0,4,7,12.1,5,17.1,0.0,Radar Brake Support,,,,,,,,,,,,,,,
Prius Hybrid,5 door hatchback,2016,1387kg,- all Prius,Large Family Car,7,2.6,3.0,14.6,,,,,6.0,11.3,2.0,,3.0,2.5,2.8,16.9,4.8,6.0,5,7.8,15.1,8,23.1,4.9,,,,,,,,,,,,,,,,
"VW Tiguan 2.0 TDI 110 kW, LHD",5 door SUV,2016,1531kg,- all Tiguans of the specification tested,Small SUV,7.8,2.4,2.9,16.0,,,,,7.0,11.8,0,,3.0,2.5,2.7,19.3,0.8,6.0,5,7.5,14.8,8,22.8,4.5,,,,,,,,,,,,,,,,
"SEAT Ateca 1.6 diesel, LHD",- 5 door SUV,2016,1300kg,- all Atecas of the specification tested,Small Off-Road 4x4,7.7,2.4,2.9,14.9,,,,,7.0,12.0,1.5,,3.0,0,2.8,14.5,3.8,6.0,5,7.5,14.4,8,22.4,5.8,,,,,,,,,,,,,,,,
Alfa Romeo Giulia,- 4 door saloon,2016,1449kg,- ZARGAEDU007510937,Large Family Car,7.8,2.7,3.0,15.9,,,,,6.0,11.3,0.0,,3.0,1.5,2.8,12.7,6.0,6.0,5,8,14.5,8,22.5,4.5,,,,,,,,,,,,,,,,
"Subaru Levorg 1.6 GT-S, LHD",- 5 door estate,2016,1574kg,- all Subaru Levorgs,Small Family Car,7.2,2.3,3.0,15.6,,,,,9.0,12.0,0,,3.0,2.7,2.6,16.1,4.5,6.0,5,7,12,8,20.0,5.0,,,,,,,,,,,,,,,,
"Kia Niro GL, 1.6GDI Hybrid, LHD",- 5 door hatchback,2016,1414kg,- all Kia Niros including PHEVs,Small Family Car,7.1,2.5,0.0,16.0,,,,,7.0,11.5,1.5,,3.0,2.6,0,13.9,4.4,6.0,4,6.3,13.1,8,21.1,0.0,,,,,,,,,,,,,,,,
"Kia Niro GL, 1.6GDI Hybrid, LHD",- 5 door hatchback,2016,1414kg,"- Kia Niros, including PHEVs, with Advanced Driving Assistance Pack",Small Family Car,7.1,2.5,3.0,16.0,,,,,7.0,11.5,1.5,,3.0,2.6,2.6,13.9,4.4,6.0,5,6.3,13.1,8,21.1,5.4,Advanced Driving Assistance Pack,,,,,,,,,,,,,,,
"Renault Scenic 1.5DCi, LHD",- 5 seater,2016,1517kg,- all Scenics including 7 seat Grand Scenic,Small MPV,7.7,2.6,2.4,15.4,,,,,7.0,10.0,2.5,,3.0,0,1.6,14.0,4.6,6.0,5,6.5,15.2,8,23.2,3.8,,,,,,,,,,,,,,,,
"Toyota Hilux Double-Cab, 2.4 diesel 4x4, mid grade, LHD",- Pickup,2016,2050kg,- All Hilux double-cabs,Pickup Truck,6.5,2.7,0.0,16.0,,,,,8.0,10.8,0,,3.0,0,0,18.9,6.0,6.0,3,7.3,13.5,8,21.5,0.0,,,,,,,,,,,,,,,,
"Toyota Hilux Double-Cab, 2.4 diesel 4x4, mid grade, LHD",- Pickup,2016,2050kg,- Hilux double-cabs with optional 'Toyota Safety Sense',Pickup Truck,6.5,2.7,3.0,16.0,,,,,8.0,10.8,0.5,,3.0,1.5,2.6,18.9,6.0,6.0,5,7.3,13.5,8,21.5,4.1,Toyota Safety Sense,,,,,,,,,,,,,,,
"FIAT Tipo 1.6 MultiJet, LHD",- 5 door hatchback,2016,1350kg,- ZFA35600006D71517,Small Family Car,7,2.2,0.0,16.0,,,,,4.0,11.3,0,,3.0,0,0,14.8,5.4,6.0,3,6.1,10.5,4,14.5,0.0,,,,,,,,,,,,,,,,
"FIAT Tipo 1.6 MultiJet, LHD",- 5 door hatchback,2016,1350kg,- ZFA35600006D71517,Small Family Car,7,2.2,0.0,16.0,,,,,4.0,11.3,1.5,,3.0,0,2.4,14.8,5.4,6.0,4,6.1,10.5,4,14.5,0.0,Pack Safety,,,,,,,,,,,,,,,
Hyundai Ioniq Hybrid,- 5 door hatchback,2016,1370kg,- all Ioniqs including electric and PHEV,Small Family Car,7.5,2.3,3.0,16.0,,,,,7.0,12.0,1.5,,3.0,2.7,2.7,13.7,6.0,5.1,5,6.2,12.4,8,20.4,5.0,,,,,,,,,,,,,,,,
Audi Q2,- 5 door SUV,2016,1380kg,- all Q2s,Small SUV,6.3,2.7,3.0,16.0,,,,,7.0,12.0,0,,3.0,0.0,2.8,15.2,3.3,6.0,5,7.5,15.4,8,23.4,5.0,,,,,,,,,,,,,,,,
"Ford Edge 2.0 diesel 'Titanium', LHD",- 5 door SUV,2016,1970kg,- all Edges,Large SUV,7.8,2.6,2.9,15.1,,,,,7.0,12.0,2.5,,3.0,2.7,2.5,16.0,3.6,6.0,5,4,10.7,8,18.7,2.7,,,,,,,,,,,,,,,,
"Suzuki Ignis 1.2 GL, 4x2, LHD",- 5 door hatchback,2016,820kg,- all Ignis variants,City and Supermini,5.5,2.6,0.0,16.0,,,,,7.0,12.0,0,,3.0,0,0,18.4,3.9,6.0,3,6,11.8,8,19.8,0.0,,,,,,,,,,,,,,,,
"Suzuki Ignis 1.2 GL, 4x2, LHD",- 5 door hatchback,2016,820kg,- all Ignis variants with optional safety pack,City and Supermini,5.5,2.6,3.0,16.0,,,,,7.0,12.0,0,,3.0,1.7,2.5,18.4,3.9,6.0,5,6,11.8,8,19.8,4.3,Dual Camera Brake Support Version,,,,,,,,,,,,,,,
"SsangYong Tivoli diesel, LHD",- 5 door SUV,2016,1400kg,- all Tivolis from February 2018,Small Family Car,6.6,2.0,3.0,15.9,,,,,5.0,11.5,0,,3.0,0,2.2,14.5,2.7,6.0,4,3.8,5.9,8,13.9,4.2,,,,,,,,,,,,,,,,
"SsangYong Tivoli diesel, LHD",- 5 door SUV,2016,1435kg,- all XLVs from February 2018,Small Family Car,6.6,2.0,3.0,15.9,,,,,5.0,11.5,0,,3.0,0,2.2,14.5,2.7,6.0,4,3.8,5.9,8,13.9,4.2,,,,,,,,,,,,,,,,
"Audi A4 2.0 TDI S tronic, LHD",- 4 door saloon,2015,1564kg,"- all A4s, A5 Coupes and A5 Sportbacks",Large Family Car,7.1,2.4,3.0,14.5,12,12,27.4,24.0,7.0,12.0,1.3,3,3.0,0,2.5,16.6,5.5,5.3,5,7,,,,,,,,,,,,,,,,,,,,
"Ford Mustang 5.0 Fastback, LHD",- 2 door coupe,2017,1768kg,- all Mustang Fastbacks,Roadster sports,6.9,1.2,0.0,14.9,,,,,0.0,2.2,0,,2.0,0,0,21.0,0.0,6.0,2,4.7,9.6,4,13.6,0.0,,,,,,,,,,,,,,,,
"Volvo S90 D4 'Momentum', LHD",- 4 door Saloon,2017,1828kg,- all S90s,Executive Car,7.6,2.8,3.0,15.4,,,,,5.0,12.0,2.5,,3.0,2.7,3,19.8,0.5,6.0,5,7.5,14.3,8,22.3,6.0,,,,,,,,,,,,,,,,
"Volvo S90 D4 'Momentum', LHD",- 4 door Saloon,2017,1828kg,- all V90s,Executive Car,7.6,2.8,3.0,15.4,,,,,5.0,12.0,2.5,,3.0,2.7,3,19.8,0.5,6.0,5,7.5,14.3,8,22.3,6.0,,,,,,,,,,,,,,,,
"Fiat 500 1.2 Pop, LHD",- 3 door hatchback,2017,865kg,- from J696837,City and Supermini,7.5,2.1,0.0,15.5,,,,,2.0,9.8,1.3,,2.0,0,0,12.5,4.1,6.0,3,0,5.7,7,12.7,0.0,,,,,,,,,,,,,,,,
Toyota C-HR Hybrid,- 5 door SUV,2017,1470kg,- all C-HRs,Small SUV,6.9,2.7,3.0,16.0,,,,,5.0,11.3,1.3,,3.0,2.5,2.7,18.4,3.0,6.0,5,7.6,13.8,8,21.8,4.8,,,,,,,,,,,,,,,,
"Audi Q5 2.0 TDI S tronic (140 kW), LHD",- 5 door SUV,2017,1805kg,- all Q5s including Sportback,Large SUV,7.7,2.4,3.0,14.7,,,,,7.0,12.0,1.5,,3.0,0,2.5,17.6,2.6,5.0,5,7.8,15.3,8,23.3,5.9,,,,,,,,,,,,,,,,
